name,position,KDA,neutralMinionsKilled,turretsKilled,barracksKilled,minionsKilled,largestMultiKill,largestCriticalStrike,largestKillingSpree,goldEarned,physicalDamageDealtToChampions,magicDamageDealtPlayer,totalHeal,physicalDamageTaken,totalDamageDealtToChampions,totalDamageDealt,totalDamageTaken,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,timeCCingOthers
가렌,A,2.478841871,15.71428571,1.666666667,0.273809524,151.0238095,1.380952381,306.0833333,3.75,12037.96429,12332.16667,305.1071429,2535.202381,15453.83333,16758.94048,126344.8095,25536.05952,0,0,27.72619048
갈리오,A,0.981818182,3.4,0.6,0.15,129.2,1.25,0.85,1.9,10203.5,350.7,14416.1,1241.7,16299.45,15264.15,95590.05,22504,0,0,33.75
갱플랭크,A,1.504587156,5.882352941,0.705882353,0,140,1.235294118,872.1764706,1.647058824,9877,9016.352941,2524.647059,4591,13301.88235,13270.23529,121724.5294,19458,0,0,7.647058824
그라가스,A,1.272727273,6.5,0.6,0,85.3,0.9,0,0.8,6517.6,845.1,8783.2,3882.1,8880.2,9977.1,55669,14246.3,0,0,19
그레이브즈,A,2.027226319,22.22711864,1.338983051,0.257627119,154.3830508,1.359322034,379.8644068,2.918644068,11230.23051,16013.26102,880.3559322,2978.261017,11992.45085,17516.21017,137659.5695,20134.87119,0,0,14.58644068
그웬,A,2.494949495,10.6,0.76,0.12,115.68,1.32,0,2,8530.68,2732.52,5661.56,2575.8,12854,11548.88,79765.04,19328,0,0,4.28
나르,A,2.541666667,7.315789474,0.947368421,0.052631579,116.8947368,1.052631579,83.84210526,2.368421053,9165.210526,11550.36842,1879.263158,2676.315789,13898.89474,13728.94737,92298.36842,21711.73684,0,0,24.78947368
나미,A,0.727272727,3.142857143,0.857142857,0.285714286,107.4285714,0.857142857,38.28571429,1.714285714,10259.28571,2112.571429,11290.71429,15280.42857,10939.71429,13773.28571,67013.14286,24750.85714,0,0,30.14285714
나서스,A,1.691119691,10.04444444,1.333333333,0.244444444,127.3333333,1.111111111,28.84444444,1.822222222,9477.222222,6927.6,7052.111111,1758.888889,13968.64444,14485.97778,108736.7556,24467.31111,0,0,11.86666667
노틸러스,A,1.405063291,6.222222222,0.222222222,0,96.22222222,1.111111111,5.888888889,1.777777778,9068.888889,2965.777778,7814.555556,2597.222222,14349.66667,12185.55556,64968.22222,25534.88889,0,0,57.22222222
녹턴,A,2.939759036,10.9375,0.59375,0.0625,61.15625,0.90625,135.78125,1.6875,6052.6875,6901.4375,538.875,1797.5,7067.375,7958.59375,59157.5625,11311.96875,0,0,65.03125
누누와 윌럼프,A,1.62116041,17.3,0.3625,0.0625,64.7875,0.8875,2.5625,1.55,7873.5875,677.4125,9238.5375,7100.925,13569.9125,10385.7625,71902.75,21545.375,0,0,23.225
니달리,A,1.876971609,16.17647059,0.745098039,0.117647059,111.8039216,1.274509804,117.5882353,2.450980392,9798.294118,2757.784314,12627.66667,6136.784314,12613.84314,15812.98039,94819.19608,20952.5098,0,0,0.725490196
니코,A,1.479550102,5.056451613,1.056451613,0.258064516,133.7983871,1.314516129,58.10483871,2.903225806,10180.28226,1892.66129,14201.01613,1941.798387,10226.97581,16661.82258,100300.5565,17050.1129,0,0,36.10483871
다리우스,A,3.076923077,11.53398058,1.019417476,0.145631068,119.9126214,1.485436893,57.55339806,2.941747573,9805.058252,11516.74757,147.4757282,3858.533981,12878.94175,14036.93204,94268.93204,22342.85437,0,0,18.08737864
다이애나,A,2.013245033,17.73913043,1.52173913,0.173913043,133.2173913,1.47826087,0,2.739130435,11141.65217,1551.652174,16535.17391,1694.304348,11607.6087,18895,129394.7391,19801.26087,0,0,7
드레이븐,A,2.435935269,12.41107383,1.409955257,0.224272931,157.0134228,1.568232662,813.6753356,3.388143177,12193.4877,18199.66275,221.5357942,1958.462248,12840.94435,18924.23182,129569.7878,20916.86158,0,0,9.831096197
라이즈,A,1.705665931,16.19371728,0.963350785,0.130890052,169.1832461,1.308900524,0,2.670157068,11553.25131,931.617801,17632.04712,3028.21466,14817.38743,18882.62827,153287.2513,24173.37696,0,0,26.7591623
람머스,A,1.575342466,7.333333333,0.6,0.066666667,74.06666667,0.733333333,29.73333333,1.533333333,7011.066667,1181.266667,4737.333333,1323,9034.933333,5996.333333,59411.6,14888.73333,0,0,17.86666667
럭스,A,1.389977514,4.844940867,0.714848883,0.120893561,133.9395532,1.195795007,0.691195795,2.776609724,10025.62549,930.3403417,16703.27595,1272.458607,7514.984231,18036.6452,105113.0407,13049.0565,0,0,38.77529566
럼블,A,1.46875,11.65517241,0.448275862,0.068965517,133.9655172,1.275862069,0,2.137931034,10083.82759,619.5172414,19840.75862,1947.172414,12140.82759,21282.65517,115232.5862,21164.75862,0,0,15.13793103
레넥톤,A,2.163135593,14.83333333,1.736111111,0.236111111,156.0972222,1.388888889,16.125,3.777777778,12134.98611,16067.38889,2093.486111,7867.638889,20758.19444,18927.58333,134016.5556,34209.38889,0,0,24.375
레오나,A,1.428571429,0,0,0,59,2,0,2,7339,2327,2361,0,9908,5635,32380,17357,0,0,44
렉사이,A,2.333333333,0,0.333333333,0,54.33333333,1,0,1.333333333,4934,6606,0,1562,7528.666667,7668,38260,10224.66667,0,0,11
