name,position,wins,games,total_games,winRate,pickRate,championId,championName,versionIndex,version,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,hp_18,mp_18,armor_18,spellblock_18,hpregen_18,mpregen_18,crit_18,attackdamage_18,attackspeed_18
소라카,T,37,59,131587,0.627118644,0.000448373,16,Soraka,11.23,11.23.409.111,535,74,425,40,325,32,3.8,30,0.5,550,2.5,0.5,11.5,0.4,0,0,50,3,2.14,0.625,1793,1105,96.6,38.5,11,18.3,0,101,0.8524
레오나,T,45,72,131587,0.625,0.000547167,89,Leona,11.23,11.23.409.111,576,87,302,40,335,47,3.6,32,1.25,125,8.5,0.85,6,0.8,0,0,60,3,2.9,0.625,2055,982,108.2,53.25,22.95,19.6,0,111,0.9331
리산드라,T,34,56,131587,0.607142857,0.000425574,127,Lissandra,11.23,11.23.409.111,550,90,475,30,325,22,3.7,30,0.5,550,7,0.55,8,0.4,0,0,55,2.7,1.36,0.656,2080,985,84.9,38.5,16.35,14.8,0,100.9,0.8077
피즈,T,38,66,131587,0.575757576,0.000501569,105,Fizz,11.23,11.23.409.111,570,98,317,37,335,22,3.4,32,1.25,175,8,0.7,6,0.8,0,0,58,3,3.1,0.658,2236,946,79.8,53.25,19.9,19.6,0,109,1.0048
말자하,T,101,176,131587,0.573863636,0.001337518,90,Malzahar,11.23,11.23.409.111,510,87,375,27.5,335,18,3.5,30,0.5,500,6,0.6,8,0.8,0,0,55,3,1.5,0.625,1989,842.5,77.5,38.5,16.2,21.6,0,106,0.7844
카서스,T,37,65,131587,0.569230769,0.00049397,30,Karthus,11.23,11.23.409.111,550,87,467,30.5,335,18,3.5,30,0.5,450,6.5,0.55,8,0.8,0,0,46,3.25,2.11,0.625,2029,985.5,77.5,38.5,15.85,21.6,0,101.25,0.8492
요릭,T,610,1085,131587,0.562211982,0.008245495,83,Yorick,11.23,11.23.409.111,580,100,300,60,340,39,4,32,1.25,175,8,0.8,7.5,0.75,0,0,62,5,2,0.625,2280,1320,107,53.25,21.6,20.25,0,147,0.8375
자크,T,172,306,131587,0.562091503,0.002325458,154,Zac,11.23,11.23.409.111,615,95,0,0,340,33,3.5,32,1.25,175,8,0.5,0,0,0,0,60,3.4,1.6,0.736,2230,0,92.5,53.25,16.5,0,0,117.8,0.9362
카사딘,T,101,181,131587,0.55801105,0.001375516,38,Kassadin,11.23,11.23.409.111,576,105,400,87,335,19,2.8,30,0.5,150,6,0.5,6,0.8,0,0,59,3.9,3.7,0.64,2361,1879,66.6,38.5,14.5,19.6,0,125.3,1.0426
빅토르,T,198,355,131587,0.557746479,0.002697835,112,Viktor,11.23,11.23.409.111,530,90,405,45,335,23,4,30,0.5,525,8,0.65,8,0.8,0,0,53,3,2.11,0.658,2060,1170,91,38.5,19.05,21.6,0,104,0.894
티모,T,3938,7174,131587,0.54892668,0.054519063,17,Teemo,11.23,11.23.409.111,528,90,334,20,330,24,3.75,30,0.5,500,5.5,0.65,9.6,0.45,0,0,54,3,3.38,0.69,2058,674,87.75,38.5,16.55,17.25,0,105,1.0865
진,T,45,83,131587,0.542168675,0.000630761,202,Jhin,11.23,11.23.409.111,585,93,300,50,330,24,3.5,30,0.5,550,3.75,0.55,6,0.8,0,0,59,4.7,0,0.625,2166,1150,83.5,38.5,13.1,19.6,0,138.9,0.625
마오카이,T,224,414,131587,0.541062802,0.003146207,57,Maokai,11.23,11.23.409.111,565,95,375,43,335,39,4,32,1.25,125,5,0.75,7.2,0.6,0,0,64,3.3,2.125,0.8,2180,1106,107,53.25,17.75,17.4,0,120.1,1.089
에코,T,41,76,131587,0.539473684,0.000577565,245,Ekko,11.23,11.23.409.111,585,85,280,70,340,32,3,32,1.25,125,9,0.9,7,0.8,0,0,58,3,3.3,0.688,2030,1470,83,53.25,24.3,20.6,0,109,1.074
세주아니,T,62,115,131587,0.539130435,0.000873947,113,Sejuani,11.23,11.23.409.111,560,100,400,40,340,34,4.25,32,1.25,150,8.5,1,7,0.7,0,0,66,4,3.5,0.688,2260,1080,106.25,53.25,25.5,18.9,0,134,1.0974
클레드,T,297,553,131587,0.537070524,0.004202543,240,Kled,11.23,11.23.409.111,340,70,100,0,345,35,4,28,1.25,125,6,0.75,0,0,0,0,65,3.5,3.5,0.625,1530,100,103,49.25,18.75,0,0,124.5,0.9969
문도 박사,T,863,1617,131587,0.533704391,0.012288448,36,DrMundo,11.23,11.23.409.111,583,89,0,0,345,32,3,32,1.25,125,8,0.75,0,0,0,0,61,4.2,3.3,0.72,2096,0,83,53.25,20.75,0,0,132.4,1.1239
릴리아,T,321,607,131587,0.528830313,0.004612918,876,Lillia,11.23,11.23.409.111,580,90,410,50,330,22,4,32,0.75,325,2.5,0.55,11.5,0.95,0,0,61,3.1,2.7,0.625,2110,1260,90,44.75,11.85,27.65,0,113.7,0.9119
트리스타나,T,92,174,131587,0.528735632,0.001322319,18,Tristana,11.23,11.23.409.111,559,88,250,32,325,26,3,30,0.5,525,3.75,0.65,7.2,0.45,0,0,59,3.3,1.5,0.656,2055,794,77,38.5,14.8,14.85,0,115.1,0.8233
베인,T,2037,3860,131587,0.527720207,0.029334205,67,Vayne,11.23,11.23.409.111,515,89,231.8,35,330,23,3.4,30,0.5,550,3.5,0.55,6.97,0.4,0,0,60,2.36,3.3,0.658,2028,826.8,80.8,38.5,12.85,13.77,0,100.12,1.0271
나서스,T,1283,2434,131587,0.527115859,0.018497268,75,Nasus,11.23,11.23.409.111,561,90,326,62,350,34,3.5,32,1.25,125,9,0.9,7.44,0.5,0,0,67,3.5,3.48,0.638,2091,1380,93.5,53.25,24.3,15.94,0,126.5,1.0154
샤코,T,108,205,131587,0.526829268,0.001557905,35,Shaco,11.23,11.23.409.111,560,89,297,40,345,30,3.5,32,1.25,125,8.5,0.55,7.16,0.45,0,0,63,3,3,0.694,2073,977,89.5,53.25,17.85,14.81,0,114,1.0479
신지드,T,237,451,131587,0.525498891,0.00342739,27,Singed,11.23,11.23.409.111,580,85,330,45,345,34,3.5,32,1.25,125,9.5,0.55,7.5,0.55,0,0,63,3.38,1.9,0.613,2025,1095,93.5,53.25,18.85,16.85,0,120.46,0.811
트린다미어,T,910,1735,131587,0.524495677,0.013185193,23,Tryndamere,11.23,11.23.409.111,626,98,100,0,345,33,3.1,32,1.25,125,8.5,0.9,0,0,0,0,72,3.7,2.9,0.67,2292,100,85.7,53.25,23.8,0,0,134.9,1.0003
스웨인,T,44,84,131587,0.523809524,0.000638361,50,Swain,11.23,11.23.409.111,525,85,468,28.5,325,23,4,30,0.5,525,7,0.65,8,0.8,0,0,58,2.7,2.11,0.625,1970,952.5,91,38.5,18.05,21.6,0,103.9,0.8492
케일,T,483,923,131587,0.523293608,0.007014371,10,Kayle,11.23,11.23.409.111,600,85,330,50,335,26,3,26,0.5,175,5,0.5,8,0.8,0,0,50,2.5,1.5,0.625,2045,1180,77,34.5,13.5,21.6,0,92.5,0.7844
블라디미르,T,308,589,131587,0.522920204,0.004476126,8,Vladimir,11.23,11.23.409.111,537,96,2,0,330,23,3.3,30,0.5,450,7,0.6,0,0,0,0,55,3,2,0.658,2169,2,79.1,38.5,17.2,0,0,106,0.8817
오른,T,1999,3840,131587,0.520572917,0.029182214,516,Ornn,11.23,11.23.409.111,590,95,340.6,65,335,33,4,32,1.25,175,9,0.9,8.01,0.6,0,0,69,3.5,2,0.625,2205,1445.6,101,53.25,24.3,18.21,0,128.5,0.8375
사이온,T,295,567,131587,0.520282187,0.004308936,14,Sion,11.23,11.23.409.111,545,73,330,42,345,32,3,32,1.25,175,7.5,0.8,8,0.6,0,0,68,4,1.3,0.679,1786,1044,83,53.25,21.1,18.2,0,136,0.8291
